date,kind,ts_code,name,weight,nav
2018-05-25,weekly,512010.SH,医药ETF,0.3017377789823349,1000000.0
2018-05-25,weekly,513100.SH,纳指ETF,0.3059161206352061,1000000.0
2018-05-25,weekly,513500.SH,标普500ETF,0.3923461003824591,1000000.0
2018-06-01,weekly,512010.SH,医药ETF,0.24070716540615644,986814.806538476
2018-06-01,weekly,513100.SH,纳指ETF,0.27645878522894873,986814.806538476
2018-06-01,weekly,513500.SH,标普500ETF,0.3516529158112509,986814.806538476
2018-06-08,weekly,513100.SH,纳指ETF,0.2922349500589454,1004901.854176196
2018-06-08,weekly,513500.SH,标普500ETF,0.3739813098942161,1004901.854176196
2018-06-08,weekly,512010.SH,医药ETF,0.251431104458397,1004901.854176196
2018-06-15,weekly,513500.SH,标普500ETF,1.0,1006914.3113791799
2018-06-22,weekly,513100.SH,纳指ETF,0.8463163075051798,1000918.1128307708
2018-06-29,weekly,513500.SH,标普500ETF,0.8494582018554894,986729.4101095157
2018-07-06,weekly_regime,518880.SH,黄金ETF,1.0,1001940.4479633628
2018-07-13,weekly_regime,518880.SH,黄金ETF,1.0,995410.525906785
2018-07-20,weekly_regime,518880.SH,黄金ETF,1.0,991675.4019821816
2018-07-27,weekly_regime,518880.SH,黄金ETF,1.0,996904.5754766263
2018-08-03,weekly_regime,518880.SH,黄金ETF,1.0,994663.5011218643
2018-08-10,weekly_regime,518880.SH,黄金ETF,1.0,992048.9143746421
2018-08-17,weekly_regime,518880.SH,黄金ETF,1.0,970385.1956119427
2018-08-24,weekly_regime,518880.SH,黄金ETF,1.0,981590.5673857527
2018-08-31,weekly_regime,518880.SH,黄金ETF,1.0,988313.7904500386
2018-09-07,weekly_regime,518880.SH,黄金ETF,1.0,986819.7408801973
2018-09-14,weekly_regime,518880.SH,黄金ETF,1.0,992048.9143746421
2018-09-21,weekly_regime,518880.SH,黄金ETF,1.0,992422.4267671023
2018-09-28,weekly_regime,518880.SH,黄金ETF,1.0,979723.0054234511
2018-10-12,weekly_regime,518880.SH,黄金ETF,1.0,1009230.4844278173
2018-10-19,weekly_regime,518880.SH,黄金ETF,1.0,1021182.8809865479
2018-10-26,weekly_regime,518880.SH,黄金ETF,1.0,1029773.6660131356
2018-11-02,weekly_regime,518880.SH,黄金ETF,1.0,1020062.3438091668
2018-11-09,weekly_regime,518880.SH,黄金ETF,1.0,1015206.6827071826
2018-11-16,weekly_regime,518880.SH,黄金ETF,1.0,1011098.0463901189
2018-11-23,weekly_regime,518880.SH,黄金ETF,1.0,1020062.3438091668
2018-11-30,weekly_regime,518880.SH,黄金ETF,1.0,1020435.8562016273
2018-12-07,weekly_regime,518880.SH,黄金ETF,1.0,1022676.9305563893
2018-12-14,weekly_regime,518880.SH,黄金ETF,1.0,1025291.5173036116
2018-12-21,weekly_regime,518880.SH,黄金ETF,1.0,1041352.5501794057
2018-12-28,weekly_regime,518880.SH,黄金ETF,1.0,1055546.0210928984
2019-01-04,weekly_regime,518880.SH,黄金ETF,1.0,1065630.8556893275
2019-01-11,weekly_regime,518880.SH,黄金ETF,0.4285714285714286,1047702.2608512315
2019-01-11,weekly_regime,511010.SH,国债ETF国泰,0.28571428571428575,1047702.2608512315
2019-01-11,weekly_regime,511260.SH,十年国债ETF国泰,0.28571428571428575,1047702.2608512315
2019-01-18,weekly_regime,518880.SH,黄金ETF,0.4285714285714286,1048867.6452324502
2019-01-18,weekly_regime,511010.SH,国债ETF国泰,0.28571428571428575,1048867.6452324502
2019-01-18,weekly_regime,511260.SH,十年国债ETF国泰,0.28571428571428575,1048867.6452324502
2019-01-25,weekly_regime,518880.SH,黄金ETF,0.4285714285714286,1045496.9202264546
2019-01-25,weekly_regime,511010.SH,国债ETF国泰,0.28571428571428575,1045496.9202264546
2019-01-25,weekly_regime,511260.SH,十年国债ETF国泰,0.28571428571428575,1045496.9202264546
2019-02-01,weekly,513050.SH,中概互联ETF,0.2584727972851487,1056064.6505774204
2019-02-01,weekly,512800.SH,银行ETF华宝,0.3504650120985524,1056064.6505774204
2019-02-01,weekly,510050.SH,上证50,0.31343272240143194,1056064.6505774204
2019-02-15,weekly,513050.SH,中概互联ETF,0.21910314219335347,1052460.420444991
2019-02-15,weekly,510050.SH,上证50,0.2641047016368938,1052460.420444991
2019-02-15,weekly,512800.SH,银行ETF华宝,0.29557691891435767,1052460.420444991
2019-02-22,weekly,159952.SZ,创业板ETF广发,0.20489104466686425,1077066.3825124071
2019-02-22,weekly,512100.SH,中证1000ETF,0.21331786441689524,1077066.3825124071
2019-02-22,weekly,512800.SH,银行ETF华宝,0.27584759756476585,1077066.3825124071
2019-02-26,intraday_switch,512800.SH,银行ETF华宝,0.3014164283366216,1114379.6521117073
2019-02-26,intraday_switch,513100.SH,纳指ETF,0.2632829511596437,1114379.6521117073
2019-02-26,intraday_switch,513500.SH,标普500ETF,0.3459466278503994,1114379.6521117073
2019-03-01,weekly,512100.SH,中证1000ETF,0.14555559487113345,1133049.9689501014
2019-03-01,weekly,510500.SH,中证500,0.14507810550324576,1133049.9689501014
2019-03-01,weekly,512800.SH,银行ETF华宝,0.1775716427447969,1133049.9689501014
2019-03-08,weekly,512100.SH,中证1000ETF,0.12955391231750896,1139369.1099639768
2019-03-08,weekly,510500.SH,中证500,0.13083707330329025,1139369.1099639768
2019-03-08,weekly,512800.SH,银行ETF华宝,0.15992816310196165,1139369.1099639768
2019-03-15,weekly,512100.SH,中证1000ETF,0.12310246102096645,1145936.7203516075
2019-03-15,weekly,510500.SH,中证500,0.1236460109545973,1145936.7203516075
2019-03-15,weekly,512800.SH,银行ETF华宝,0.1485687202177471,1145936.7203516075
2019-03-22,weekly,512100.SH,中证1000ETF,0.1686228101473259,1159642.7561091809
