date,kind,ts_code,name,weight,nav
2020-05-22,weekly,513050.SH,中概互联ETF,0.2971289185469019,1000000.0
2020-05-22,weekly,159934.SZ,黄金ETF易方达,0.34863975070903436,1000000.0
2020-05-22,weekly,518880.SH,黄金ETF,0.3542313307440638,1000000.0
2020-05-29,weekly,513050.SH,中概互联ETF,0.2940339669047536,997527.5692901497
2020-05-29,weekly,159934.SZ,黄金ETF易方达,0.3500971077991713,997527.5692901497
2020-05-29,weekly,518880.SH,黄金ETF,0.3558689252960751,997527.5692901497
2020-06-05,weekly,513050.SH,中概互联ETF,0.27893017986794677,1009161.4625472092
2020-06-05,weekly,159985.SZ,豆粕ETF华夏,0.40533774192615807,1009161.4625472092
2020-06-05,weekly,159980.SZ,有色ETF大成,0.31573207820589505,1009161.4625472092
2020-06-12,weekly,513050.SH,中概互联ETF,0.2791032821744999,1015213.4302977643
2020-06-12,weekly,159980.SZ,有色ETF大成,0.3168311130978076,1015213.4302977643
2020-06-12,weekly,159985.SZ,豆粕ETF华夏,0.4040656047276925,1015213.4302977643
2020-06-19,weekly,513050.SH,中概互联ETF,0.27273800415663907,1034612.9845342239
2020-06-19,weekly,159980.SZ,有色ETF大成,0.3180501211729785,1034612.9845342239
2020-06-19,weekly,159985.SZ,豆粕ETF华夏,0.40921187467038245,1034612.9845342239
2020-07-03,weekly,513050.SH,中概互联ETF,0.28316155873061305,1072186.5370238214
2020-07-03,weekly,159980.SZ,有色ETF大成,0.34055117435078947,1072186.5370238214
2020-07-03,weekly,518880.SH,黄金ETF,0.3762872669185975,1072186.5370238214
2020-07-10,weekly,513050.SH,中概互联ETF,0.2668042615300992,1103136.3348155406
2020-07-10,weekly,159980.SZ,有色ETF大成,0.32416345715619954,1103136.3348155406
2020-07-10,weekly,159985.SZ,豆粕ETF华夏,0.40903228131370134,1103136.3348155406
2020-07-17,weekly,159980.SZ,有色ETF大成,0.30725511333067,1087766.6621479762
2020-07-17,weekly,515210.SH,钢铁ETF国泰,0.2879877690760898,1087766.6621479762
2020-07-17,weekly,159985.SZ,豆粕ETF华夏,0.40475711759324007,1087766.6621479762
2020-07-24,weekly,159980.SZ,有色ETF大成,0.28885745235612703,1105266.0009297659
2020-07-24,weekly,159985.SZ,豆粕ETF华夏,0.37839594723757114,1105266.0009297659
2020-07-24,weekly,518880.SH,黄金ETF,0.3327466004063018,1105266.0009297659
2020-07-31,weekly,518880.SH,黄金ETF,0.3496324147787367,1114194.787350828
2020-07-31,weekly,159934.SZ,黄金ETF易方达,0.34361504373912855,1114194.787350828
2020-07-31,weekly,159980.SZ,有色ETF大成,0.30675254148213477,1114194.787350828
2020-08-07,weekly,159934.SZ,黄金ETF易方达,0.3423064064119726,1146784.3194106272
2020-08-07,weekly,518880.SH,黄金ETF,0.34806716766552054,1146784.3194106272
2020-08-07,weekly,159980.SZ,有色ETF大成,0.30962642592250694,1146784.3194106272
2020-08-14,weekly,513500.SH,标普500ETF,0.279161510516141,1088352.5534420488
2020-08-14,weekly,159980.SZ,有色ETF大成,0.3576546260632768,1088352.5534420488
2020-08-14,weekly,518880.SH,黄金ETF,0.3631838634205822,1088352.5534420488
2020-08-21,weekly,513500.SH,标普500ETF,0.4395017691985697,1098274.5404918715
2020-08-21,weekly,159980.SZ,有色ETF大成,0.5604982308014304,1098274.5404918715
2020-08-28,weekly,513500.SH,标普500ETF,0.25462583249825566,1124918.4726037674
2020-08-28,weekly,159980.SZ,有色ETF大成,0.3276257672499385,1124918.4726037674
2020-08-28,weekly,159985.SZ,豆粕ETF华夏,0.4177484002518058,1124918.4726037674
2020-09-04,weekly,159980.SZ,有色ETF大成,0.4428504202217979,1132366.719972211
2020-09-04,weekly,159985.SZ,豆粕ETF华夏,0.5571495797782021,1132366.719972211
2020-09-11,weekly,159985.SZ,豆粕ETF华夏,0.5557891077684469,1138172.352930153
2020-09-11,weekly,159980.SZ,有色ETF大成,0.4442108922315531,1138172.352930153
2020-09-18,weekly,159985.SZ,豆粕ETF华夏,1.0,1169422.1360029785
2020-09-25,weekly,159985.SZ,豆粕ETF华夏,1.0,1135024.9223584444
2020-10-09,weekly,159985.SZ,豆粕ETF华夏,1.0,1207022.771911032
2020-10-16,weekly,159985.SZ,豆粕ETF华夏,1.0,1211257.9395317724
2020-10-23,weekly,159985.SZ,豆粕ETF华夏,0.3681123628101661,1197493.6447643659
2020-10-23,weekly,159920.SZ,恒生ETF,0.3067954475203712,1197493.6447643659
2020-10-23,weekly,159980.SZ,有色ETF大成,0.32509218966946274,1197493.6447643659
2020-10-30,weekly,159985.SZ,豆粕ETF华夏,0.36624876956988295,1177018.09157741
2020-10-30,weekly,159980.SZ,有色ETF大成,0.33217035931290473,1177018.09157741
2020-10-30,weekly,159920.SZ,恒生ETF,0.30158087111721227,1177018.09157741
2020-11-06,weekly,159920.SZ,恒生ETF,0.47561541179458827,1209907.7293020955
2020-11-06,weekly,159980.SZ,有色ETF大成,0.5243845882054118,1209907.7293020955
2020-11-13,weekly,159920.SZ,恒生ETF,0.3044474224746536,1231870.7734860112
2020-11-13,weekly,159980.SZ,有色ETF大成,0.33499758248563133,1231870.7734860112
2020-11-13,weekly,159985.SZ,豆粕ETF华夏,0.360554995039715,1231870.7734860112
2020-11-20,weekly,159920.SZ,恒生ETF,0.30666503244344184,1251388.1661586503
2020-11-20,weekly,159980.SZ,有色ETF大成,0.33179193909965815,1251388.1661586503
2020-11-20,weekly,159985.SZ,豆粕ETF华夏,0.3615430284569,1251388.1661586503
2020-11-27,weekly,159980.SZ,有色ETF大成,0.3304134709151058,1273316.3233373382
2020-11-27,weekly,159985.SZ,豆粕ETF华夏,0.3669068518009389,1273316.3233373382
2020-11-27,weekly,159920.SZ,恒生ETF,0.3026796772839553,1273316.3233373382
2020-12-04,weekly,159980.SZ,有色ETF大成,0.3536590632492208,1254860.1117249003
2020-12-04,weekly,513500.SH,标普500ETF,0.2563655727696176,1254860.1117249003
2020-12-04,weekly,159985.SZ,豆粕ETF华夏,0.3899753639811616,1254860.1117249003
2020-12-11,weekly,159980.SZ,有色ETF大成,0.5868167102210485,1259982.270703713
2020-12-11,weekly,513500.SH,标普500ETF,0.4131832897789514,1259982.270703713
2020-12-18,weekly,159980.SZ,有色ETF大成,0.39977343674751853,1286202.7606807959
2020-12-18,weekly,513500.SH,标普500ETF,0.247546245899673,1286202.7606807959
2020-12-18,weekly,518880.SH,黄金ETF,0.35268031735280847,1286202.7606807959
2020-12-25,weekly,518880.SH,黄金ETF,0.3299930744899009,1276322.1084140774
2020-12-25,weekly,159934.SZ,黄金ETF易方达,0.32735639430279273,1276322.1084140774
2020-12-25,weekly,159985.SZ,豆粕ETF华夏,0.3426505312073064,1276322.1084140774
2021-01-08,weekly,159985.SZ,豆粕ETF华夏,0.32921967319853074,1311619.4787714353
2021-01-08,weekly,159934.SZ,黄金ETF易方达,0.33372044097117853,1311619.4787714353
