trade_date,strategy,benchmark
2018-01-02,1.0,1.0
2018-01-03,1.0,1.0053191489361704
2018-01-04,1.0,1.0084622823984526
2018-01-05,1.0,1.012330754352031
2018-01-08,1.0,1.0164410058027078
2018-01-09,1.0,1.024661508704062
2018-01-10,1.0,1.0290135396518376
2018-01-11,1.0,1.0275628626692457
2018-01-12,1.0,1.0331237911025144
2018-01-15,1.0,1.0311895551257253
2018-01-16,1.0,1.041586073500967
2018-01-17,1.0,1.0384429400386848
2018-01-18,1.0,1.0452127659574468
2018-01-19,1.0,1.0481141199226305
2018-01-22,1.0,1.061411992263056
2018-01-23,1.0,1.0609284332688587
2018-01-24,1.0,1.0616537717601546
2018-01-25,1.0,1.0548839458413928
2018-01-26,1.0,1.0602030947775627
2018-01-29,1.0,1.040135396518375
2018-01-30,1.0,1.0294970986460348
2018-01-31,1.0,1.0326402321083172
2018-02-01,1.0,1.0253868471953578
2018-02-02,1.0,1.0316731141199227
2018-02-05,1.0,1.030705996131528
2018-02-06,1.0,1.0016924564796905
2018-02-07,1.0,0.9779980657640232
2018-02-08,1.0,0.9700193423597677
2018-02-09,1.0,0.9252901353965184
2018-02-12,1.0,0.938588007736944
2018-02-13,1.0,0.9499516441005802
2018-02-14,1.0,0.9584139264990329
2018-02-22,1.0,0.9782398452611218
2018-02-23,1.0,0.983558994197292
2018-02-26,1.0,0.9961315280464217
2018-02-27,1.0,0.9818665377176015
2018-02-28,1.0,0.9719535783365569
2018-03-01,1.0,0.9789651837524178
2018-03-02,1.0,0.9724371373307544
2018-03-05,1.0,0.9702611218568665
2018-03-06,1.0,0.9847678916827853
2018-03-07,1.0,0.9767891682785299
2018-03-08,1.0,0.9867021276595745
2018-03-09,1.0,0.9939555125725338
2018-03-12,1.0,0.9968568665377177
2018-03-13,1.0,0.986218568665377
2018-03-14,1.0,0.9828336557059962
2018-03-15,1.0,0.9900870406189555
2018-03-16,1.0,0.9792069632495164
2018-03-19,1.0,0.9845261121856866
2018-03-20,1.0,0.9840425531914894
2018-03-21,1.0,0.9789651837524178
2018-03-22,1.0,0.9702611218568665
2018-03-23,1.0,0.9414893617021277
2018-03-26,1.0,0.937137330754352
2018-03-27,1.0,0.9455996131528046
2018-03-28,1.0,0.9264990328820115
2018-03-29,1.0,0.9434235976789168
2018-03-30,1.0,0.9419729206963249
2018-04-02,1.0,0.9388297872340425
2018-04-03,1.0,0.9327852998065764
2018-04-04,1.0,0.9303675048355898
2018-04-09,1.0,0.9315764023210832
2018-04-10,1.0,0.9497098646034816
2018-04-11,1.0,0.9509187620889747
2018-04-12,1.0,0.9410058027079303
2018-04-13,1.0,0.934477756286267
2018-04-16,1.0,0.9197292069632494
2018-04-17,1.0,0.9061895551257254
2018-04-18,1.0,0.9081237911025144
2018-04-19,1.0,0.9209381044487428
2018-04-20,1.0,0.9066731141199226
2018-04-23,1.0,0.910541586073501
2018-04-24,1.0,0.929642166344294
2018-04-25,1.0,0.9240812379110251
2018-04-26,1.0,0.905705996131528
2018-04-27,1.0,0.9076402321083172
2018-05-02,1.0,0.910541586073501
2018-05-03,1.0,0.9158607350096711
2018-05-04,1.0,0.9115087040618955
2018-05-07,1.0,0.9262572533849129
2018-05-08,1.0,0.9383462282398451
2018-05-09,1.0,0.9356866537717602
2018-05-10,1.0,0.9419729206963249
2018-05-11,1.0,0.9364119922630562
2018-05-14,1.0,0.9446324951644101
2018-05-15,1.0,0.9482591876208898
2018-05-16,1.0,0.940522243713733
2018-05-17,1.0,0.9325435203094777
2018-05-18,1.0,0.9426982591876208
2018-05-21,1.0,0.9472920696324951
2018-05-22,1.0,0.9434235976789168
2018-05-23,1.0,0.9310928433268858
2018-05-24,1.0,0.9235976789168278
2018-05-25,1.0,0.92142166344294
2018-05-28,1.0089335194316633,0.9272243713733075
2018-05-29,0.9892587101999493,0.9185203094777562
2018-05-30,0.9812192700784708,0.9011121856866537
2018-05-31,0.9994010060220837,0.9194874274661509
2018-06-01,0.986814806538476,0.9132011605415861
2018-06-04,0.9939426799020367,0.9221470019342359
2018-06-05,1.00742255558596,0.9298839458413927
2018-06-06,1.0103934928653162,0.928191489361702
2018-06-07,1.0111116359072208,0.9279497098646035
2018-06-08,1.004901854176196,0.9156189555125724
2018-06-11,1.0041383745081542,0.918036750483559
2018-06-12,1.0122947828212188,0.9272243713733075
2018-06-13,1.0102735202957522,0.9177949709864602
2018-06-14,1.002858201509848,0.9153771760154739
2018-06-15,1.0069143113791799,0.9139264990328819
2018-06-19,0.9852787673177901,0.8824951644100579
2018-06-20,0.9949029799411628,0.8824951644100579
2018-06-21,1.006331732431418,0.8752417794970987
2018-06-22,1.0009181128307707,0.879110251450677
2018-06-25,0.9942122985059594,0.866779497098646
2018-06-26,0.9806070468760619,0.8583172147001934
2018-06-27,0.974484683642608,0.8380077369439072
2018-06-28,0.9687024516999017,0.8331721470019342
2018-06-29,0.9867294101095156,0.8551740812379109
2018-07-02,0.9808797644397491,0.8324468085106382
2018-07-03,0.9954216649679586,0.8293036750483559
2018-07-04,0.9863956577435526,0.8205996131528046
2018-07-05,0.9944187752763579,0.8138297872340425
2018-07-06,1.001940447963363,0.8208413926499033
2018-07-09,0.999892674616309,0.8447775628626693
2018-07-10,0.9965310630841661,0.846953578336557
2018-07-11,0.9995191622238487,0.8329303675048355
2018-07-12,0.9965310630841661,0.8529980657640232
2018-07-13,0.995410525906785,0.854448742746615
2018-07-16,0.9969045754766263,0.8508220502901354
2018-07-17,0.9950370135143247,0.8455029013539651
2018-07-18,0.9856992037028163,0.8416344294003868
2018-07-19,0.98980784001988,0.8421179883945842
2018-07-20,0.9916754019821816,0.8583172147001934
2018-07-23,0.9965310630841661,0.8638781431334622
2018-07-24,0.9957840382992453,0.8798355899419729
2018-07-25,0.9965310630841661,0.8795938104448743
2018-07-26,0.9980251126540074,0.8682301740812379
2018-07-27,0.9969045754766263,0.86605415860735
2018-07-30,0.9976516002615469,0.8612185686653772
2018-07-31,0.9983986250464676,0.8643617021276596
2018-08-01,0.9980251126540074,0.8450193423597679
2018-08-02,0.9950370135143247,0.8261605415860734
2018-08-03,0.9946635011218643,0.8145551257253385
2018-08-06,0.9946635011218643,0.8060928433268859
2018-08-07,0.9942899887294039,0.8285783365570599
2018-08-08,0.9927959391595625,0.8164893617021276
2018-08-09,0.9927959391595625,0.836073500967118
2018-08-10,0.992048914374642,0.8375241779497098
2018-08-13,0.9950370135143247,0.8338974854932301
2018-08-14,0.986446228487737,0.8302707930367506
2018-08-15,0.9849521789178957,0.8104448742746615
2018-08-16,0.9726262699667048,0.8070599613152805
2018-08-17,0.9703851956119427,0.7947292069632494
2018-08-20,0.9767349062837685,0.8031914893617021
2018-08-21,0.9812170549932924,0.8169729206963249
2018-08-22,0.980843542600832,0.815522243713733
2018-08-23,0.9812170549932924,0.8179400386847195
2018-08-24,0.9815905673857527,0.8191489361702127
2018-08-27,0.986446228487737,0.8397001934235976
2018-08-28,0.98980784001988,0.8372823984526112
2018-08-29,0.985325691310356,0.8341392649903289
2018-08-30,0.986446228487737,0.8259187620889749
2018-08-31,0.9883137904500386,0.8196324951644101
2018-09-03,0.9842051541329749,0.8179400386847195
2018-09-04,0.980843542600832,0.827852998065764
2018-09-05,0.9800965178159114,0.8106866537717602
2018-09-06,0.9834581293480544,0.8036750483558993
2018-09-07,0.9868197408801973,0.8089941972920697
2018-09-10,0.9834581293480544,0.7973887814313346
2018-09-11,0.9860727160952768,0.7944874274661509
2018-09-12,0.9856992037028163,0.7889264990328819
2018-09-13,0.98980784001988,0.7973887814313346
2018-09-14,0.992048914374642,0.7985976789168279
2018-09-17,0.9868197408801973,0.7911025145067697
2018-09-18,0.9883137904500386,0.8063346228239845
2018-09-19,0.9890608152349594,0.8172147001934236
2018-09-20,0.9901813524123402,0.8167311411992263
2018-09-21,0.9924224267671024,0.8423597678916828
2018-09-25,0.9894343276274197,0.8338974854932301
2018-09-26,0.990928377197261,0.8430851063829787
2018-09-27,0.9868197408801973,0.839458413926499
2018-09-28,0.979723005423451,0.8481624758220503
2018-10-08,0.992048914374642,0.8077852998065764
2018-10-09,0.9905548648048007,0.8094777562862668
2018-10-10,0.9905548648048007,0.8089941972920697
2018-10-11,0.995410525906785,0.7674081237911025
2018-10-12,1.0092304844278173,0.7816731141199227
2018-10-15,1.018941806631786,0.7703094777562862
2018-10-16,1.0185682942393255,0.7652321083172147
2018-10-17,1.0155801950996428,0.7678916827852998
2018-10-18,1.016700732277024,0.7509671179883946
2018-10-19,1.021182880986548,0.7700676982591876
2018-10-22,1.0196888314167065,0.8106866537717602
2018-10-23,1.0249180049111513,0.7833655705996132
2018-10-24,1.0252915173036117,0.7845744680851063
2018-10-25,1.0305206907980562,0.7884429400386848
2018-10-26,1.0297736660131356,0.7804642166344294
2018-10-29,1.0282796164432941,0.7570116054158607
2018-10-30,1.026038542088532,0.7659574468085106
2018-10-31,1.0174477570619447,0.7749032882011605
2018-11-01,1.0196888314167065,0.7804642166344294
2018-11-02,1.0200623438091667,0.8131044487427466
2018-11-05,1.0204358562016274,0.8027079303675048
2018-11-06,1.021182880986548,0.7976305609284332
2018-11-07,1.0215563933790082,0.7911025145067697
2018-11-08,1.0174477570619447,0.7903771760154739
2018-11-09,1.0152066827071826,0.7804642166344294
2018-11-12,1.0077364348579758,0.7891682785299806
2018-11-13,1.004374823325833,0.7973887814313346
2018-11-14,1.0040013109333727,0.7877176015473888
2018-11-15,1.0096039968202775,0.7981141199226306
2018-11-16,1.011098046390119,0.800531914893617
2018-11-19,1.0137126331373412,0.8094777562862668
2018-11-20,1.0174477570619447,0.7918278529980657
2018-11-21,1.0170742446694843,0.7925531914893617
2018-11-22,1.018941806631786,0.7903771760154739
2018-11-23,1.0200623438091667,0.769825918762089
2018-11-26,1.0185682942393255,0.7710348162475822
2018-11-27,1.016700732277024,0.7703094777562862
2018-11-28,1.0122185835675,0.7819148936170213
2018-11-29,1.0200623438091667,0.7741779497098645
2018-11-30,1.0204358562016274,0.7821566731141198
2018-12-03,1.0159537074921032,0.8024661508704062
2018-12-04,1.0159537074921032,0.8036750483558993
2018-12-05,1.0178212694544049,0.8000483558994197
2018-12-06,1.0215563933790082,0.7838491295938104
2018-12-07,1.0226769305563892,0.7821566731141198
2018-12-10,1.0335087899377389,0.7749032882011605
2018-12-11,1.0320147403678974,0.778046421663443
2018-12-12,1.0271590792659133,0.780705996131528
