date,hot_out,new_target
2019-02-26,"159952.SZ,512100.SH","512800.SH:0.30,513100.SH:0.26,513500.SH:0.35"
2020-02-13,513100.SH,"518880.SH:0.30,513500.SH:0.40,159934.SZ:0.30"
2023-06-19,513100.SH,"513500.SH:0.26,159985.SZ:0.28,518880.SH:0.46"
