date,kind,ts_code,name,weight,nav
2018-05-25,weekly,512010.SH,医药ETF,0.3017377789823349,1000000.0
2018-05-25,weekly,513100.SH,纳指ETF,0.3059161206352061,1000000.0
2018-05-25,weekly,513500.SH,标普500ETF,0.3923461003824591,1000000.0
2018-06-01,weekly,512010.SH,医药ETF,0.27705103411335574,986814.806538476
2018-06-01,weekly,513100.SH,纳指ETF,0.3182007158289746,986814.806538476
2018-06-01,weekly,513500.SH,标普500ETF,0.4047482500576698,986814.806538476
2018-06-08,weekly,513100.SH,纳指ETF,0.3184610574742304,1007690.0248166265
2018-06-08,weekly,513500.SH,标普500ETF,0.407543599423981,1007690.0248166265
2018-06-08,weekly,512010.SH,医药ETF,0.2739953431017886,1007690.0248166265
2018-06-15,weekly,513500.SH,标普500ETF,1.0,1009912.3579722627
2018-06-22,weekly,513100.SH,纳指ETF,1.0,1003891.2157825215
2018-06-29,weekly,513500.SH,标普500ETF,1.0,987167.3177308731
2018-07-06,weekly_regime,518880.SH,黄金ETF,1.0,1005077.5183609136
2018-07-13,weekly_regime,518880.SH,黄金ETF,1.0,998453.1318813054
2018-07-20,weekly_regime,518880.SH,黄金ETF,1.0,994706.5910487301
2018-07-27,weekly_regime,518880.SH,黄金ETF,1.0,999951.7482143354
2018-08-03,weekly_regime,518880.SH,黄金ETF,1.0,997703.8237147903
2018-08-10,weekly_regime,518880.SH,黄金ETF,1.0,995081.2451319877
2018-08-17,weekly_regime,518880.SH,黄金ETF,1.0,973351.308303051
2018-08-24,weekly_regime,518880.SH,黄金ETF,1.0,984590.9308007769
2018-08-31,weekly_regime,518880.SH,黄金ETF,1.0,991334.7042994123
2018-09-07,weekly_regime,518880.SH,黄金ETF,1.0,989836.0879663823
2018-09-14,weekly_regime,518880.SH,黄金ETF,1.0,995081.2451319877
2018-09-21,weekly_regime,518880.SH,黄金ETF,1.0,995455.8992152452
2018-09-28,weekly_regime,518880.SH,黄金ETF,1.0,982717.6603844893
2018-10-12,weekly_regime,518880.SH,黄金ETF,1.0,1012315.3329618338
2018-10-19,weekly_regime,518880.SH,黄金ETF,1.0,1024304.2636260747
2018-10-26,weekly_regime,518880.SH,黄金ETF,1.0,1032921.3075409977
2018-11-02,weekly_regime,518880.SH,黄金ETF,1.0,1023180.301376302
2018-11-09,weekly_regime,518880.SH,黄金ETF,1.0,1018309.7982939542
2018-11-16,weekly_regime,518880.SH,黄金ETF,1.0,1014188.6033781214
2018-11-23,weekly_regime,518880.SH,黄金ETF,1.0,1023180.301376302
2018-11-30,weekly_regime,518880.SH,黄金ETF,1.0,1023554.9554595597
2018-12-07,weekly_regime,518880.SH,黄金ETF,1.0,1025802.8799591047
2018-12-14,weekly_regime,518880.SH,黄金ETF,1.0,1028425.4585419075
2018-12-21,weekly_regime,518880.SH,黄金ETF,1.0,1044535.5841219809
2018-12-28,weekly_regime,518880.SH,黄金ETF,1.0,1058772.439285767
2019-01-04,weekly_regime,518880.SH,黄金ETF,1.0,1068888.0995337202
2019-01-11,weekly_regime,518880.SH,黄金ETF,1.0,1050904.703537359
2019-01-18,weekly_regime,518880.SH,黄金ETF,1.0,1053152.6280369041
2019-01-25,weekly_regime,518880.SH,黄金ETF,1.0,1047907.4708712988
2019-02-01,weekly,513050.SH,中概互联ETF,0.28022664252391805,1068513.4454504626
2019-02-01,weekly,512800.SH,银行ETF华宝,0.3799611978282427,1068513.4454504626
2019-02-01,weekly,510050.SH,上证50,0.3398121596478391,1068513.4454504626
2019-02-15,weekly,513050.SH,中概互联ETF,0.2813397907544915,1064604.775255214
2019-02-15,weekly,510050.SH,上证50,0.3391241255236326,1064604.775255214
2019-02-15,weekly,512800.SH,银行ETF华宝,0.3795360837218759,1064604.775255214
2019-02-22,weekly,159952.SZ,创业板ETF广发,0.29520801650033723,1096658.153347888
2019-02-22,weekly,512100.SH,中证1000ETF,0.3073494194975119,1096658.153347888
2019-02-22,weekly,512800.SH,银行ETF华宝,0.397442564002151,1096658.153347888
2019-02-26,intraday_switch,512800.SH,银行ETF华宝,0.33099187379611317,1151443.7665981678
2019-02-26,intraday_switch,513100.SH,纳指ETF,0.28911668094473636,1151443.7665981678
2019-02-26,intraday_switch,513500.SH,标普500ETF,0.3798914452591505,1151443.7665981678
2019-03-01,weekly,512100.SH,中证1000ETF,0.3108798244407988,1172525.8569999565
2019-03-01,weekly,510500.SH,中证500,0.30985999548133697,1172525.8569999565
2019-03-01,weekly,512800.SH,银行ETF华宝,0.3792601800778641,1172525.8569999565
2019-03-08,weekly,512100.SH,中证1000ETF,0.3082274807397883,1187001.5416739304
2019-03-08,weekly,510500.SH,中证500,0.31128030616941826,1187001.5416739304
2019-03-08,weekly,512800.SH,银行ETF华宝,0.3804922130907935,1187001.5416739304
2019-03-15,weekly,512100.SH,中证1000ETF,0.31140173878592436,1203324.0990257715
2019-03-15,weekly,510500.SH,中证500,0.3127767104399906,1203324.0990257715
2019-03-15,weekly,512800.SH,银行ETF华宝,0.375821550774085,1203324.0990257715
2019-03-22,weekly,512100.SH,中证1000ETF,0.3151913905502969,1239769.26099724
2019-03-22,weekly,510500.SH,中证500,0.3145597243005174,1239769.26099724
2019-03-22,weekly,513100.SH,纳指ETF,0.37024888514918575,1239769.26099724
2019-03-29,weekly,513100.SH,纳指ETF,0.3721076448175556,1220100.5089690636
2019-03-29,weekly,510500.SH,中证500,0.31324412413103825,1220100.5089690636
2019-03-29,weekly,512100.SH,中证1000ETF,0.31464823105140616,1220100.5089690636
2019-04-12,weekly,510500.SH,中证500,0.3113463193430606,1259004.0158881657
2019-04-12,weekly,512100.SH,中证1000ETF,0.3113899700189028,1259004.0158881657
2019-04-12,weekly,513100.SH,纳指ETF,0.3772637106380366,1259004.0158881657
